department_name,geographic_region,name,normalised_path,path,url,financial_year,sphere
"Economic Development, Environmental Affairs and Tourism",Limpopo,"Vote 06 : Economic Development, Environmental Affairs and Tourism","etl-data/normalised/2016/Limpopo/Vote 06 : Economic Development, Environmental Affairs and Tourism.xlsm","etl-data/2016/Limpopo/LIM - Eco. Dev., Env. and Tourism.xlsm",,2016,provincial
"Economic Development, Environmental Affairs and Tourism",Limpopo,"Vote 06 : Economic Development, Environmental Affairs and Tourism",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 06 - Economic Dev., Environ. & Tourism.pdf",2016,provincial
Health,Limpopo,Vote 07 : Health,etl-data/normalised/2016/Limpopo/Vote 07 : Health.xlsm,etl-data/2016/Limpopo/LIM - Health.xlsm,,2016,provincial
Health,Limpopo,Vote 07 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 07 - Health.pdf,2016,provincial
Transport,Limpopo,Vote 08 : Transport,etl-data/normalised/2016/Limpopo/Vote 08 : Transport.xlsm,etl-data/2016/Limpopo/LIM - Transport.xlsm,,2016,provincial
Transport,Limpopo,Vote 08 : Transport,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 08 - Transport.pdf,2016,provincial
"Public Works, Roads and Infrastructure",Limpopo,"Vote 09 : Public Works, Roads and Infrastructure","etl-data/normalised/2016/Limpopo/Vote 09 : Public Works, Roads and Infrastructure.xlsm","etl-data/2016/Limpopo/LIM - Public Works, Roads and Infrastructure.xlsm",,2016,provincial
"Public Works, Roads and Infrastructure",Limpopo,"Vote 09 : Public Works, Roads and Infrastructure",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 09 - Public Works, Roads & Infrastructure.pdf",2016,provincial
"Safety, Security and Liaison",Limpopo,"Vote 10 : Safety, Security and Liaison","etl-data/normalised/2016/Limpopo/Vote 10 : Safety, Security and Liaison.xlsm","etl-data/2016/Limpopo/LIM - Safety, Security and Liaison.xlsm",,2016,provincial
"Safety, Security and Liaison",Limpopo,"Vote 10 : Safety, Security and Liaison",,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 10 - Safety and Security.pdf,2016,provincial
"Co-operative Governance, Human Settlement and Traditional Affairs",Limpopo,"Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs","etl-data/normalised/2016/Limpopo/Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs.xlsm","etl-data/2016/Limpopo/LIM - CoG, HS and Trad. Affairs.xlsm",,2016,provincial
"Co-operative Governance, Human Settlement and Traditional Affairs",Limpopo,"Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 11 - Coop Gov, HS & Environment.pdf",2016,provincial
Social Development,Limpopo,Vote 12 : Social Development,etl-data/normalised/2016/Limpopo/Vote 12 : Social Development.xlsm,etl-data/2016/Limpopo/LIM - Social Development.xlsm,,2016,provincial
Social Development,Limpopo,Vote 12 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 12 - Social Development.pdf,2016,provincial
"Sport, Arts and Culture",Limpopo,"Vote 13 : Sport, Arts and Culture","etl-data/normalised/2016/Limpopo/Vote 13 : Sport, Arts and Culture.xlsm","etl-data/2016/Limpopo/LIM - Sport, Arts and Culture.xlsm",,2016,provincial
"Sport, Arts and Culture",Limpopo,"Vote 13 : Sport, Arts and Culture",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 13 - Sport, Art & Culture.pdf",2016,provincial
Office of the Premier,Mpumalanga,Vote 01 : Office of the Premier,etl-data/normalised/2016/Mpumalanga/Vote 01 : Office of the Premier.xlsm,etl-data/2016/Mpumalanga/MPU - Office of the Premier.xlsm,,2016,provincial
Office of the Premier,Mpumalanga,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 01 - Office of the Premier.pdf,2016,provincial
Mpumalanga Provincial Legislature,Mpumalanga,Vote 02 : Mpumalanga Provincial Legislature,etl-data/normalised/2016/Mpumalanga/Vote 02 : Mpumalanga Provincial Legislature.xlsm,etl-data/2016/Mpumalanga/MPU - Provincial Legislature.xlsm,,2016,provincial
Mpumalanga Provincial Legislature,Mpumalanga,Vote 02 : Mpumalanga Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 02 - Provincial Legislature.pdf,2016,provincial
Provincial Treasury,Mpumalanga,Vote 03 : Provincial Treasury,etl-data/normalised/2016/Mpumalanga/Vote 03 : Provincial Treasury.xlsm,etl-data/2016/Mpumalanga/MPU - Finance.xlsm,,2016,provincial
Provincial Treasury,Mpumalanga,Vote 03 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 03 - Provincial Treasury.pdf,2016,provincial
Co-operative Governance and Traditional Affairs,Mpumalanga,Vote 04 : Co-operative Governance and Traditional Affairs,etl-data/normalised/2016/Mpumalanga/Vote 04 : Co-operative Governance and Traditional Affairs.xlsm,etl-data/2016/Mpumalanga/MPU - CoGTA.xlsm,,2016,provincial
Co-operative Governance and Traditional Affairs,Mpumalanga,Vote 04 : Co-operative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 04 - Co-operative Governance and Traditional Aff.pdf,2016,provincial
"Agricultural, Rural Development and Land Administration",Mpumalanga,"Vote 05 : Agricultural, Rural Development and Land Administration","etl-data/normalised/2016/Mpumalanga/Vote 05 : Agricultural, Rural Development and Land Administration.xlsm","etl-data/2016/Mpumalanga/MPU - Agric., Rural Dev., Land and Env. Affairs.xlsm",,2016,provincial
"Agricultural, Rural Development and Land Administration",Mpumalanga,"Vote 05 : Agricultural, Rural Development and Land Administration",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 05 - Agriculture, Rural deve, Land and Environ.pdf",2016,provincial
"Economic Development, Environment and Tourism",Mpumalanga,"Vote 06 : Economic Development, Environment and Tourism","etl-data/normalised/2016/Mpumalanga/Vote 06 : Economic Development, Environment and Tourism.xlsm",etl-data/2016/Mpumalanga/MPU - Eco. Development and Tourism.xlsm,,2016,provincial
"Economic Development, Environment and Tourism",Mpumalanga,"Vote 06 : Economic Development, Environment and Tourism",,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 06 - Economic Development and Tourism.pdf,2016,provincial
Education,Mpumalanga,Vote 07 : Education,etl-data/normalised/2016/Mpumalanga/Vote 07 : Education.xlsm,etl-data/2016/Mpumalanga/MPU - Education.xlsm,,2016,provincial
Education,Mpumalanga,Vote 07 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 07 - Education.pdf,2016,provincial
"Public Works, Roads and Transport",Mpumalanga,"Vote 08 : Public Works, Roads and Transport","etl-data/normalised/2016/Mpumalanga/Vote 08 : Public Works, Roads and Transport.xlsm","etl-data/2016/Mpumalanga/MPU - Public Works, Roads and Transport.xlsm",,2016,provincial
"Public Works, Roads and Transport",Mpumalanga,"Vote 08 : Public Works, Roads and Transport",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 08 - Public Works, Roads and Transport.pdf",2016,provincial
"Community Safety, Security and Liaison",Mpumalanga,"Vote 09 : Community Safety, Security and Liaison","etl-data/normalised/2016/Mpumalanga/Vote 09 : Community Safety, Security and Liaison.xlsm","etl-data/2016/Mpumalanga/MPU - Comm. Safety, Sec. and Liaison.xlsm",,2016,provincial
"Community Safety, Security and Liaison",Mpumalanga,"Vote 09 : Community Safety, Security and Liaison",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 09 - Community Safety, Security and Liaison.pdf",2016,provincial
Health,Mpumalanga,Vote 10 : Health,etl-data/normalised/2016/Mpumalanga/Vote 10 : Health.xlsm,etl-data/2016/Mpumalanga/MPU - Health.xlsm,,2016,provincial
Health,Mpumalanga,Vote 10 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 10 - Health.pdf,2016,provincial
"Culture, Sport and Recreation",Mpumalanga,"Vote 11 : Culture, Sport and Recreation","etl-data/normalised/2016/Mpumalanga/Vote 11 : Culture, Sport and Recreation.xlsm","etl-data/2016/Mpumalanga/MPU - Culture, Sport and Recreation.xlsm",,2016,provincial
"Culture, Sport and Recreation",Mpumalanga,"Vote 11 : Culture, Sport and Recreation",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 11 - Cullture, Sport and Recreation.pdf",2016,provincial
Social Development,Mpumalanga,Vote 12 : Social Development,etl-data/normalised/2016/Mpumalanga/Vote 12 : Social Development.xlsm,etl-data/2016/Mpumalanga/MPU - Social Development.xlsm,,2016,provincial
Social Development,Mpumalanga,Vote 12 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 12 - Social Development.pdf,2016,provincial
Human Settlements,Mpumalanga,Vote 13 : Human Settlements,etl-data/normalised/2016/Mpumalanga/Vote 13 : Human Settlements.xlsm,etl-data/2016/Mpumalanga/MPU - Human Settlements.xlsm,,2016,provincial
Human Settlements,Mpumalanga,Vote 13 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 13 - Human Settlements.pdf,2016,provincial
Office of the Premier,North West,Vote 01 : Office of the Premier,etl-data/normalised/2016/North West/Vote 01 : Office of the Premier.xlsm,etl-data/2016/North West/NW - Office of the Premier.xlsm,,2016,provincial
Office of the Premier,North West,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 01 - Office of The Premier.pdf,2016,provincial
Provincial Legislature,North West,Vote 02 : Provincial Legislature,etl-data/normalised/2016/North West/Vote 02 : Provincial Legislature.xlsm,etl-data/2016/North West/NW - Legislature.xlsm,,2016,provincial
Provincial Legislature,North West,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 02 - Legislature.pdf,2016,provincial
Health,North West,Vote 03 : Health,etl-data/normalised/2016/North West/Vote 03 : Health.xlsm,etl-data/2016/North West/NW - Health.xlsm,,2016,provincial
Health,North West,Vote 03 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 03 - Health.pdf,2016,provincial
"Culture, Arts and Traditional Affairs",North West,"Vote 04 : Culture, Arts and Traditional Affairs","etl-data/normalised/2016/North West/Vote 04 : Culture, Arts and Traditional Affairs.xlsm","etl-data/2016/North West/NW - Culture, Arts and Trad.xlsm",,2016,provincial
"Culture, Arts and Traditional Affairs",North West,"Vote 04 : Culture, Arts and Traditional Affairs",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 04 - Culture, Arts and Traditional Affairs.pdf",2016,provincial
Community Safety and Transport Management,North West,Vote 05 : Community Safety and Transport Management,etl-data/normalised/2016/North West/Vote 05 : Community Safety and Transport Management.xlsm,etl-data/2016/North West/NW - Comm. Safety and Transport Mgt..xlsm,,2016,provincial
Community Safety and Transport Management,North West,Vote 05 : Community Safety and Transport Management,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 05 - Community Safety and Transport Management.pdf,2016,provincial
Economy and Entreprise Development,North West,Vote 06 : Economy and Entreprise Development,etl-data/normalised/2016/North West/Vote 06 : Economy and Entreprise Development.xlsm,etl-data/2016/North West/NW - Economy and Enterprise Development.xlsm,,2016,provincial
Economy and Entreprise Development,North West,Vote 06 : Economy and Entreprise Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 06 - Economy and Entreprise Development.pdf,2016,provincial
Finance,North West,Vote 07 : Finance,etl-data/normalised/2016/North West/Vote 07 : Finance.xlsm,etl-data/2016/North West/NW - Finance.xlsm,,2016,provincial
Finance,North West,Vote 07 : Finance,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 07 - Finance.pdf,2016,provincial
Education and Sports Development,North West,Vote 08 : Education and Sports Development,etl-data/normalised/2016/North West/Vote 08 : Education and Sports Development.xlsm,etl-data/2016/North West/NW - Education and Sport Development.xlsm,,2016,provincial
Education and Sports Development,North West,Vote 08 : Education and Sports Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 08 - Education.pdf,2016,provincial
Local Government and Human Settlements,North West,Vote 09 : Local Government and Human Settlements,etl-data/normalised/2016/North West/Vote 09 : Local Government and Human Settlements.xlsm,etl-data/2016/North West/NW - Local Government and Human Settlements.xlsm,,2016,provincial
Local Government and Human Settlements,North West,Vote 09 : Local Government and Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 09 - Local Government and Human Settlements.pdf,2016,provincial
Tourism,North West,Vote 10 : Tourism,etl-data/normalised/2016/North West/Vote 10 : Tourism.xlsm,etl-data/2016/North West/NW - Tourism.xlsm,,2016,provincial
Tourism,North West,Vote 10 : Tourism,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 10 - Tourism.pdf,2016,provincial
Public Works and Roads,North West,Vote 11 : Public Works and Roads,etl-data/normalised/2016/North West/Vote 11 : Public Works and Roads.xlsm,etl-data/2016/North West/NW - Public Works and Roads.xlsm,,2016,provincial
Public Works and Roads,North West,Vote 11 : Public Works and Roads,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 11 - Public Works and Roads.pdf,2016,provincial
Social Development,North West,Vote 12 : Social Development,etl-data/normalised/2016/North West/Vote 12 : Social Development.xlsm,etl-data/2016/North West/NW - Social Development.xlsm,,2016,provincial
Social Development,North West,Vote 12 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 12 - Social Development.pdf,2016,provincial
Rural Environment and Agricultural Development,North West,Vote 13 : Rural Environment and Agricultural Development,etl-data/normalised/2016/North West/Vote 13 : Rural Environment and Agricultural Development.xlsm,etl-data/2016/North West/NW - Rural Env. and Agricultural Dev..xlsm,,2016,provincial
Rural Environment and Agricultural Development,North West,Vote 13 : Rural Environment and Agricultural Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 13 - Rural Environment and Agricultural Development.pdf,2016,provincial
Office of the Premier,Northern Cape,Vote 01 : Office of the Premier,etl-data/normalised/2016/Northern Cape/Vote 01 : Office of the Premier.xlsm,etl-data/2016/Northern Cape/NC - Office of the Premier.xlsm,,2016,provincial
Office of the Premier,Northern Cape,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 01 - Office of the Premier.pdf,2016,provincial
Provincial Legislature,Northern Cape,Vote 02 : Provincial Legislature,etl-data/normalised/2016/Northern Cape/Vote 02 : Provincial Legislature.xlsm,etl-data/2016/Northern Cape/NC - Provincial Legislature.xlsm,,2016,provincial
Provincial Legislature,Northern Cape,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 02 - Provincial Legislature.pdf,2016,provincial
"Transport, Safety and Liaison",Northern Cape,"Vote 03 : Transport, Safety and Liaison","etl-data/normalised/2016/Northern Cape/Vote 03 : Transport, Safety and Liaison.xlsm","etl-data/2016/Northern Cape/NC - Transport, Safety and Liaison.xlsm",,2016,provincial
"Transport, Safety and Liaison",Northern Cape,"Vote 03 : Transport, Safety and Liaison",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 03 - Transport, Safety & Liaison.pdf",2016,provincial
Education,Northern Cape,Vote 04 : Education,etl-data/normalised/2016/Northern Cape/Vote 04 : Education.xlsm,etl-data/2016/Northern Cape/NC - Education.xlsm,,2016,provincial
Education,Northern Cape,Vote 04 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 04 - Education.pdf,2016,provincial
Roads and Public Works,Northern Cape,Vote 05 : Roads and Public Works,etl-data/normalised/2016/Northern Cape/Vote 05 : Roads and Public Works.xlsm,etl-data/2016/Northern Cape/NC - Roads and Public Works.xlsm,,2016,provincial
Roads and Public Works,Northern Cape,Vote 05 : Roads and Public Works,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 05 - Roads & Public Works.pdf,2016,provincial
Economic Development and Tourism,Northern Cape,Vote 06 : Economic Development and Tourism,etl-data/normalised/2016/Northern Cape/Vote 06 : Economic Development and Tourism.xlsm,etl-data/2016/Northern Cape/NC - Eco. Dev. and Tourism.xlsm,,2016,provincial
Economic Development and Tourism,Northern Cape,Vote 06 : Economic Development and Tourism,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 06 - Economic Development & Tourism.pdf,2016,provincial
"Sport, Arts and Culture",Northern Cape,"Vote 07 : Sport, Arts and Culture","etl-data/normalised/2016/Northern Cape/Vote 07 : Sport, Arts and Culture.xlsm","etl-data/2016/Northern Cape/NC - Sport, Arts and Culture.xlsm",,2016,provincial
"Sport, Arts and Culture",Northern Cape,"Vote 07 : Sport, Arts and Culture",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 07 - Sports, Art & Culture.pdf",2016,provincial
Provincial Treasury,Northern Cape,Vote 08 : Provincial Treasury,etl-data/normalised/2016/Northern Cape/Vote 08 : Provincial Treasury.xlsm,etl-data/2016/Northern Cape/NC - Provincial Treasury.xlsm,,2016,provincial
Provincial Treasury,Northern Cape,Vote 08 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 08 - Treasury.pdf,2016,provincial
"Cooperative Governance, Human Settlement and Traditional Affairs",Northern Cape,"Vote 09 : Cooperative Governance, Human Settlement and Traditional Affairs","etl-data/normalised/2016/Northern Cape/Vote 09 : Cooperative Governance, Human Settlement and Traditional Affairs.xlsm","etl-data/2016/Northern Cape/NC - CoG, HS and Trad. Affairs.xlsm",,2016,provincial
"Cooperative Governance, Human Settlement and Traditional Affairs",Northern Cape,"Vote 09 : Cooperative Governance, Human Settlement and Traditional Affairs",,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 09 - COGTA.pdf,2016,provincial
Health,Northern Cape,Vote 10 : Health,etl-data/normalised/2016/Northern Cape/Vote 10 : Health.xlsm,etl-data/2016/Northern Cape/NC - Health.xlsm,,2016,provincial
Health,Northern Cape,Vote 10 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 10 - Health.pdf,2016,provincial
Social Development,Northern Cape,Vote 11 : Social Development,etl-data/normalised/2016/Northern Cape/Vote 11 : Social Development.xlsm,etl-data/2016/Northern Cape/NC - Social Development.xlsm,,2016,provincial
Social Development,Northern Cape,Vote 11 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 11 - Social Development.pdf,2016,provincial
"Agriculture, Land Reform and Rural Development",Northern Cape,"Vote 12 : Agriculture, Land Reform and Rural Development","etl-data/normalised/2016/Northern Cape/Vote 12 : Agriculture, Land Reform and Rural Development.xlsm","etl-data/2016/Northern Cape/NC - Agric., Land Reform and Rural Dev..xlsm",,2016,provincial
"Agriculture, Land Reform and Rural Development",Northern Cape,"Vote 12 : Agriculture, Land Reform and Rural Development",,,"http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 12 - Agriculture, Land & Rural Dev.pdf",2016,provincial
Environment and Nature Conservation,Northern Cape,Vote 13 : Environment and Nature Conservation,etl-data/normalised/2016/Northern Cape/Vote 13 : Environment and Nature Conservation.xlsm,etl-data/2016/Northern Cape/NC - Environ. and Nature Conservation.xlsm,,2016,provincial
Environment and Nature Conservation,Northern Cape,Vote 13 : Environment and Nature Conservation,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NC - Vote 13 - Environment & Nature Conservation.pdf,2016,provincial
Office of the Premier,Western Cape,Vote 01 : Office of the Premier,etl-data/normalised/2016/Western Cape/Vote 01 : Office of the Premier.xlsm,etl-data/2016/Western Cape/WC - Premier.xlsm,,2016,provincial
Office of the Premier,Western Cape,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC - Vote 01 - Office of the Premier.pdf,2016,provincial
Provincial Parliament,Western Cape,Vote 02 : Provincial Parliament,etl-data/normalised/2016/Western Cape/Vote 02 : Provincial Parliament.xlsm,etl-data/2016/Western Cape/WC - Provincial Parliament.xlsm,,2016,provincial
Provincial Parliament,Western Cape,Vote 02 : Provincial Parliament,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC - Vote 02 - Provincial Parliament.pdf,2016,provincial
Provincial Treasury,Western Cape,Vote 03 : Provincial Treasury,etl-data/normalised/2016/Western Cape/Vote 03 : Provincial Treasury.xlsm,etl-data/2016/Western Cape/WC - Provincial Treasury.xlsm,,2016,provincial
Provincial Treasury,Western Cape,Vote 03 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC - Vote 03 - Provincial Treasury.pdf,2016,provincial
Community Safety,Western Cape,Vote 04 : Community Safety,etl-data/normalised/2016/Western Cape/Vote 04 : Community Safety.xlsm,etl-data/2016/Western Cape/WC - Community Safety.xlsm,,2016,provincial
Community Safety,Western Cape,Vote 04 : Community Safety,,,http://www.treasury.gov.za/documents/provincial%20budget/2016/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/WC - Vote 04 - Community Safety.pdf,2016,provincial
Education,Western Cape,Vote 05 : Education,etl-data/normalised/2016/Western Cape/Vote 05 : Education.xlsm,etl-data/2016/Western Cape/WC - Education.xlsm,,2016,provincial
